artistID,Artist,Songs,Popularity,Link,Genre,Genres
69,Cássia Eller,141,7.5,/cassia-eller/,Rock,Rock; MPB; Pop/Rock; Pop; Romântico; Samba; Country; Classic Rock; Pagode; Gospel/Religioso; Black Music; Hip Hop; Funk; Reggae; Blues; Axé; Sertanejo; Punk Rock; Bossa Nova; Dance; Jazz
70,Castello do Rei,10,0,/castello-do-rei/,Rock,Rock; Rock Alternativo; Gospel/Religioso
71,Chantal Kreviazuk,73,0.6,/chantal-kreviazuk/,Rock,Rock; Romântico; Folk; Pop/Rock; Surf Music; Power-Pop; Indie; Classic Rock; Gospel/Religioso; Punk Rock
72,Charge,7,0,/charge/,Rock,Rock
73,Chris Cornell,78,1.2,/chris-cornell/,Rock,Rock; Grunge; Rock Alternativo; Pop/Rock; Hard Rock; Clássico
74,Chris Isaak,142,2.1,/chris-isaak/,Rock,Rock; Romântico; Soft Rock; Blues; Clássico; New Age; Pop/Rock; Rockabilly; MPB; Gótico
75,Chris Richardson,4,0,/chris-richardson/,Rock,Rock; R&B; Pop; Clássico
76,Cinema Bizarre,40,0.1,/cinema-bizarre/,Rock,Rock; Pop/Rock; Gótico; Emocore; Rock Alternativo; Pop/Punk; Electronica; Hard Rock; Hardcore; Power-Pop; Axé; New Wave; Heavy Metal; Pop; Punk Rock; J-Pop/J-Rock
77,Claudio Henrique,8,0,/claudio-henrique-seven-music/,Rock,Rock
78,Cleiton Sabino,2,0,/cleiton-sabino/,Rock,Rock; Blues; Country
79,Cliff Richard,275,0,/cliff-richard-and-the-shadows/,Rock,Rock
80,Coheed And Cambria,109,0.1,/coheed-and-cambria/,Rock,Rock; Progressivo; Heavy Metal; Hard Rock; Hardcore; Rock Alternativo; Pós-Punk
81,Comunidade Zen,13,0,/comunidade-zen/,Rock,Rock; Reggae; Pop/Rock
82,Coppala,5,0,/coppala/,Rock,Rock
83,Crazy Horse,1,0,/crazy-horse-11/,Rock,NA
84,Cream,61,0.2,/cream/,Rock,Rock; Blues; Hard Rock; Psicodelia; Folk
85,Creedence Clearwater Revival,67,5.2,/creedence-clearwater-revival/,Rock,Rock; Country; Clássico; Blues; Classic Rock; J-Pop/J-Rock; Rock Alternativo; Folk; Black Music; Axé; Grunge; Pop/Punk; Surf Music; Hardcore; Psicodelia; Dance
86,Crowded House,92,1,/crowded-house/,Pop,Pop; Rock; Pop/Rock
87,Dan Auerbach,23,0.1,/dan-auerbach/,Rock,Rock; Indie; Blues
88,Danko Jones,69,0,/danko-jones/,Rock,Rock; Hard Rock; Punk Rock
89,Danni Carlos,64,0.8,/danni-carlos/,Pop,Pop; Rock; Pop/Rock; Romântico; MPB; Rock Alternativo; Trilha Sonora; Soft Rock; Post-Rock; Dance; Psicodelia; Instrumental; Axé
90,Daughtry,78,1.4,/daughtry/,Rock,Rock; Pop/Rock; Rock Alternativo; Romântico; Grunge; Pós-Punk; Indie; Post-Rock; Reggae; Gospel/Religioso; J-Pop/J-Rock; Clássico
91,David Bowie,458,8.1,/david-bowie/,Rock,Rock; Pop/Rock; Folk; Psicodelia; Soul Music; Rock Alternativo; Indie; Clássico; Axé; Blues; Post-Rock; New Wave; Classic Rock; Bossa Nova; Soft Rock; Pop; Disco; Romântico; Forró; Funk Carioca; Progressivo; Gótico; Pós-Punk
92,Deftones,142,0.7,/deftones/,Rock,Rock; Heavy Metal; Hardcore; Rock Alternativo; Hard Rock; Post-Rock
93,Desprezo in Cadência,1,0,/desprezo-in-cadencia/,Rock,Rock; Rock Alternativo
94,Didáticos,8,0,/didaticos/,Rock,Rock
95,Dido,89,2.4,/dido/,Rock,Rock; Pop; Romântico; Pop/Rock; Industrial; Disco; Sertanejo; Soul Music; Trip-Hop
96,Diego Perin,4,0,/diego-perin/,Rock,Rock
97,Dirty Pretty Things,29,0,/dirty-pretty-things/,Rock,Rock; Indie
98,Disturbed,126,2.9,/disturbed/,Rock,Rock; Hard Rock; Heavy Metal; Forró; Surf Music; Metal; Psicodelia; Electronica; Gospel/Religioso; Clássico; Pop/Rock; Black Music; Gótico
99,Dog Eat Dog,44,0,/dog-eat-dog/,Rock,Rock; Punk Rock
100,Dr. Sin,107,0,/dr-sin/,Rock,Rock
101,Drake Bell,90,0.3,/drake-bell/,Pop,Pop; Pop/Rock; Rock; Rock Alternativo; Romântico; Trilha Sonora; Rockabilly; Axé; Sertanejo; Funk Carioca; Psicodelia; Indie; J-Pop/J-Rock
102,Drive,44,0.2,/drive/,Rock,Rock; Emocore; Hardcore; Pop/Rock; Romântico; Hard Rock; Rock Alternativo; Pop/Punk; Punk Rock; Rap; Hip Hop; Bossa Nova; Pagode; Ska; Grunge; Industrial; Funk Carioca; Blues; Electronica; Forró; Funk; J-Pop/J-Rock; Gótico; Samba Enredo; Clássico; Axé
103,Drop Hope,6,0,/drop-hope/,Rock,Rock; Metal
104,Dying Kingdom,10,0,/dying-kingdom/,Rock,Rock; Hard Rock; Metal
105,Eagle-Eye Cherry,54,0.9,/eagle-eye-cherry/,Rock,Rock; Surf Music; Rock Alternativo; Pop/Rock; Reggae; Soul Music; Romântico; Hardcore; Pop; Funk; Gótico; Funk Carioca
106,Edgar Vidart,7,0,/edgar-vidart/,Rock,Rock; Pop/Rock
107,Edson Ferreira,2,0,/edson-ferreira/,Rock,Rock; Pop; Gospel/Religioso
108,Eduardo Araújo,21,0.1,/eduardo-araujo/,Rock,Rock; Country; Jovem Guarda; MPB; Soul Music; Psicodelia; Axé; Jazz; Sertanejo; Blues; Progressivo; Velha Guarda; Tecnopop; Pós-Punk; Heavy Metal
109,Efêmera,11,0,/efemera/,Rock,Rock; Indie; Rock Alternativo
110,Electronic,44,0.1,/electronic/,Rock,Rock; Electronica; Dance; Tecnopop; New Wave
111,Emmerson Nogueira,96,0.9,/emmerson-nogueira/,Rock,Rock; Pop/Rock; Pop; Romântico; MPB; World Music; Soul Music; Clássico; Jazz; Axé; Funk; Rock Alternativo; Reggae; Instrumental; Sertanejo; Hip Hop; Hard Rock; Trilha Sonora
112,EndeverafteR,11,0,/endeverafter/,Rock,Rock; Hard Rock; Pós-Punk; Pop/Rock
113,Erasmo Carlos,225,2.3,/erasmo-carlos/,Rock,Rock; Jovem Guarda; Romântico; MPB; Soul Music; Psicodelia; Samba; Dance; Classic Rock; Fado; Forró; Funk; Axé; Bossa Nova
114,Eric Clapton,425,6.4,/eric-clapton/,Rock,Rock; Blues; Country
115,Esc,16,0,/esc/,Rock,Rock; Hardcore; Rock Alternativo
116,Esquerita,1,0,/esquerita/,Rock,Rock; R&B; Rockabilly; Blues
117,Esteban,55,0.9,/esteban/,Rock,Rock; Emocore; Blues; Indie; Rock Alternativo; Pop/Rock; Folk; MPB; Instrumental; Romântico; Clássico; Regional; Pop; World Music; Samba; Chillout; Gótico; Bossa Nova; Hard Rock; Axé; Hardcore
118,Evanescence,129,7.9,/evanescence/,Rock,Rock; Rock Alternativo; Gótico; Piano Rock; Hard Rock; Heavy Metal; Romântico; Metal; Pop/Rock; Trilha Sonora; Punk Rock; Classic Rock; Funk Carioca; Funk; Axé; Emocore; Rockabilly; Soft Rock; Clássico; Pop; Forró; Pop/Punk; Hardcore; Dance; Sertanejo; Electronica; Grunge; Gospel/Religioso; Black Music; Folk; R&B; Bossa Nova; Rap; Jazz; Post-Rock; Psicodelia; Reggaeton; Reggae; Instrumental; Infantil; Samba Enredo; Blues; Velha Guarda; Progressivo; New Age
119,ExPublico,5,0,/expublico/,Rock,Rock
120,Falling Up,62,0,/falling-up/,Rock,Rock; Gospel/Religioso; Pop/Rock; Rap; Rock Alternativo; Heavy Metal
121,Fator 7,13,0,/fator-7/,Rock,Rock; Gospel/Religioso; Hardcore
122,Fide,5,0,/fide/,Rock,Rock
123,Fincabaute,25,0,/fincabaute/,Rock,Rock; Pop/Rock; Pop
124,Fiona Apple,65,0.2,/fiona-apple/,Rock,Rock; Indie; Folk; Rock Alternativo; Jazz; Psicodelia; Piano Rock; Post-Rock; Clássico; Blues; Pop; Pós-Punk; Chillout; Progressivo; Soft Rock; Gótico; Axé
125,Fiuk,29,0.3,/fiuk/,Pop,Pop; Pop/Rock; Romântico; Rock; Trilha Sonora; Rock Alternativo; Funk Carioca; Dance; Axé; Black Music; Gospel/Religioso; J-Pop/J-Rock; Electronica; Emocore; Indie; House; Electro Swing; Rap; Folk; Grunge; Fado; Samba Enredo; K-Pop/K-Rock; World Music; Punk Rock; Gótico; Forró; Pop/Punk; Funk; Clássico; Hip Hop
126,Five Dons,12,0,/five-dons/,Rock,Rock; Gospel/Religioso
127,Flyleaf,92,0.3,/flyleaf/,Rock,Rock; Hard Rock; Gospel/Religioso; Rock Alternativo; Heavy Metal; Gótico; Progressivo
128,Frejat,56,3.5,/frejat/,Rock,Rock; Pop/Rock; Romântico; MPB; Rock Alternativo; Trilha Sonora; Soul Music; World Music; Trip-Hop; Reggae; Sertanejo; Funk Carioca; Fado; K-Pop/K-Rock; Clássico; Samba; Funk; Pop; Bossa Nova; Hard Rock
129,George Michael,128,5.1,/george-michael/,Pop,Pop; Rock; Romântico; Pop/Rock; Clássico; Dance; Disco; J-Pop/J-Rock; Axé; R&B; Jazz; New Wave
130,Georgios,10,0,/georgios/,Rock,Rock; Pop; Folk
131,Gloria,63,0.6,/gloria/,Rock,Rock; Hard Rock; Hardcore; Heavy Metal; Emocore; Punk Rock; Rock Alternativo; Rockabilly; Metal; Post-Rock; Grunge; Axé
132,Gold n' Soul,4,0,/gold-n-soul/,Rock,Rock; Pop; Blues
133,Gorillaz,136,2.7,/gorillaz/,Rock,Rock; Hip Hop; Rock Alternativo; Pop/Rock; Electronica; Rap; Indie; Trip-Hop; Black Music; Reggae; J-Pop/J-Rock
134,Grand Funk Railroad,109,0.2,/grand-funk-railroad/,Rock,Rock; Hard Rock; Funk; Folk; Heavy Metal
